model_name,split_name,sample_count,event_count,actual_event_rate,mean_predicted_pd,pd_minus_event_rate,roc_auc,gini,ks,average_precision,log_loss,brier_score,top_10pct_sample_count,top_10pct_actual_sample_share,top_10pct_event_count,top_10pct_event_rate,lift_at_10pct,top_10pct_bad_capture_rate
M0 Logistic/WOE Scorecard,model_train,1250581,41040,0.03281675,0.03276149,-0.00005526,0.77457423,0.54914846,0.40818414,0.11657535,0.12819557,0.03042622,,,,,,
M0 Logistic/WOE Scorecard,tuning_validation,63875,2298,0.03597652,0.04065823,0.00468171,0.77896026,0.55792051,0.42304234,0.13204638,0.13690387,0.03308929,6388.00000000,0.10000783,859.00000000,0.13447088,3.73774049,0.37380331
M1 Random Forest,model_train,1250581,41040,0.03281675,0.03281676,0.00000001,0.77425622,0.54851244,0.40164975,0.11382598,0.12949248,0.03052414,,,,,,
M1 Random Forest,tuning_validation,63875,2298,0.03597652,0.03648536,0.00050884,0.76885229,0.53770458,0.40185036,0.11510247,0.13909485,0.03331247,6388.00000000,0.10000783,811.00000000,0.12695679,3.52887955,0.35291558
M2 LightGBM,model_train,1250581,41040,0.03281675,0.03282635,0.00000960,0.85931890,0.71863779,0.54753317,0.26170129,0.11166649,0.02783060,,,,,,
M2 LightGBM,tuning_validation,63875,2298,0.03597652,0.04180502,0.00582851,0.80680663,0.61361326,0.47452161,0.16444383,0.13158621,0.03236074,6388.00000000,0.10000783,995.00000000,0.15576080,4.32951314,0.43298520
